Product,Product_ID,price
Macbook Pro Laptop,P1001,1700
LG Washing Machine,P1002,600
USB-C Charging Cable,P1003,11.95
27in FHD Monitor,P1004,149.99
AA Batteries (4-pack),P1005,3.84
Bose SoundSport Headphones,P1006,99.99
AAA Batteries (4-pack),P1007,2.99
ThinkPad Laptop,P1008,999.99
Lightning Charging Cable,P1009,14.95
Google Phone,P1010,600
Wired Headphones,P1011,11.99
Apple Airpods Headphones,P1012,150
Vareebadd Phone,P1013,400
iPhone,P1014,700
20in Monitor,P1015,109.99
34in Ultrawide Monitor,P1016,379.99
Flatscreen TV,P1017,300
27in 4K Gaming Monitor,P1018,389.99
LG Dryer,P1019,600
